DATE,LFWA64TTUSM647S
1987-01-01,153896.03140811
1987-02-01,154094.745883803
1987-03-01,154164.474981738
1987-04-01,154361.287723739
1987-05-01,154502.177422642
1987-06-01,154617.531964375
1987-07-01,154699.938685724
1987-08-01,154803.263656801
1987-09-01,154936.580483668
1987-10-01,155022.663532774
1987-11-01,155193.274831003
1987-12-01,155284.060214638
1988-01-01,155405.989324714
1988-02-01,155544.87620487
1988-03-01,155609.750373265
1988-04-01,155661.636426232
1988-05-01,155806.178510421
1988-06-01,155996.044492164
1988-07-01,156091.603932241
1988-08-01,156152.991843042
1988-09-01,156281.838298413
1988-10-01,156364.864243021
1988-11-01,156458.232730512
1988-12-01,156556.138717438
1989-01-01,156742.882495999
1989-02-01,156876.120874927
1989-03-01,156973.564392004
1989-04-01,156903.160966861
1989-05-01,156981.510984496
1989-06-01,157082.966791305
1989-07-01,157147.122892205
1989-08-01,157271.156405445
1989-09-01,157512.382001125
1989-10-01,157556.545055631
1989-11-01,157682.238020932
1989-12-01,157825.578261075
1990-01-01,159330.280973326
1990-02-01,159505.204171997
1990-03-01,159563.31483269
1990-04-01,159631.120073977
1990-05-01,159654.455372183
1990-06-01,159778.241229716
1990-07-01,159814.842582159
1990-08-01,159972.241649916
1990-09-01,160245.245822894
1990-10-01,160333.997010991
1990-11-01,160564.272656538
1990-12-01,160714.832336299
1991-01-01,160510.129707578
1991-02-01,160617.107770457
1991-03-01,160835.334826694
1991-04-01,160861.179950053
1991-05-01,161035.730682304
1991-06-01,161129.156307439
1991-07-01,161179.794658231
1991-08-01,161394.215522887
1991-09-01,161638.410411923
1991-10-01,161725.800969646
1991-11-01,161890.451985603
1991-12-01,162028.838406295
1992-01-01,161723.457526025
1992-02-01,161889.743822828
1992-03-01,162085.708846852
1992-04-01,162325.167455739
1992-05-01,162461.216505023
1992-06-01,162381.503776884
1992-07-01,162478.232859567
1992-08-01,162846.242093703
1992-09-01,163128.311178323
1992-10-01,163254.561354287
1992-11-01,163365.451740224
1992-12-01,163497.230858865
1993-01-01,163316.34977176
1993-02-01,163490.575243855
1993-03-01,163627.124419357
1993-04-01,163894.714671422
1993-05-01,164036.226704817
1993-06-01,164029.592974625
1993-07-01,164175.605630634
1993-08-01,164415.767824222
1993-09-01,164620.953068412
1993-10-01,164809.534675978
1993-11-01,164888.530282532
1993-12-01,165047.713526675
1994-01-01,165009.785398158
1994-02-01,165177.944623127
1994-03-01,165355.819482396
1994-04-01,165488.106239624
1994-05-01,165610.795529598
1994-06-01,165727.552429471
1994-07-01,165858.182647982
1994-08-01,165943.97864871
1994-09-01,166126.161810467
1994-10-01,166301.300046165
1994-11-01,166368.621445185
1994-12-01,166567.736478418
1995-01-01,166504.749431016
1995-02-01,166652.796420532
1995-03-01,166738.62048729
1995-04-01,166922.201602714
1995-05-01,166943.746103002
1995-06-01,167045.60175032
1995-07-01,167167.835744226
1995-08-01,167316.509414094
1995-09-01,167460.312376704
1995-10-01,167599.978118436
1995-11-01,167665.182692575
1995-12-01,167867.76011863
1996-01-01,167866.42676054
1996-02-01,168067.002472783
1996-03-01,168260.565370107
1996-04-01,168547.963029389
1996-05-01,168675.730139168
1996-06-01,168832.193826768
1996-07-01,168909.54498836
1996-08-01,169072.007623359
1996-09-01,169248.992479951
1996-10-01,169382.164169698
1996-11-01,169539.092872595
1996-12-01,169739.114129985
1997-01-01,170275.958989769
1997-02-01,170444.9627046
1997-03-01,170698.224745967
1997-04-01,170763.734644645
1997-05-01,170971.579505957
1997-06-01,171111.353998765
1997-07-01,171230.772373802
1997-08-01,171346.676789017
1997-09-01,171482.23085481
1997-10-01,171630.351707759
1997-11-01,171824.484301214
1997-12-01,171967.223036219
1998-01-01,172111.221835262
1998-02-01,172277.616790483
1998-03-01,172388.22556879
1998-04-01,172571.194693568
1998-05-01,172764.206377222
1998-06-01,172934.894058851
1998-07-01,173073.112823661
1998-08-01,173229.309326256
1998-09-01,173365.08628287
1998-10-01,173532.091764257
1998-11-01,173797.311644993
1998-12-01,173933.944909306
1999-01-01,174439.311892846
1999-02-01,174549.43330344
1999-03-01,174692.873941364
1999-04-01,174761.754839761
1999-05-01,174987.498742274
1999-06-01,175225.235392258
1999-07-01,175393.002931329
1999-08-01,175550.429995069
1999-09-01,175632.569906745
1999-10-01,175900.462830639
1999-11-01,176065.175871397
1999-12-01,176246.38972648
2000-01-01,178282.591805193
2000-02-01,178329.793949074
2000-03-01,178392.535617691
2000-04-01,178577.636074543
2000-05-01,178729.117636909
2000-06-01,179060.906721878
2000-07-01,179337.505869996
2000-08-01,179410.364313676
2000-09-01,179573.718198646
2000-10-01,179763.339780879
2000-11-01,179932.901240908
2000-12-01,180132.906217206
2001-01-01,180407.530469305
2001-02-01,180563.038672641
2001-03-01,180624.056345899
2001-04-01,180901.831925277
2001-05-01,181016.668489782
2001-06-01,181362.349733103
2001-07-01,181625.625634794
2001-08-01,181844.247347695
2001-09-01,182057.518148272
2001-10-01,182241.541886476
2001-11-01,182437.687238544
2001-12-01,182638.737367674
2002-01-01,182561.778090205
2002-02-01,182786.181259262
2002-03-01,183079.026298063
2002-04-01,183251.618118866
2002-05-01,183510.108435377
2002-06-01,183676.319163672
2002-07-01,183896.41267563
2002-08-01,184171.828090607
2002-09-01,184418.763493835
2002-10-01,184554.115503604
2002-11-01,184750.021915904
2002-12-01,184856.861401029
2003-01-01,185629.08801144
2003-02-01,185860.286097894
2003-03-01,186082.411516432
2003-04-01,186471.158199882
2003-05-01,186654.45600096
2003-06-01,186807.735996608
2003-07-01,187075.399254021
2003-08-01,187313.707276157
2003-09-01,187539.663217394
2003-10-01,187738.1592034
2003-11-01,187974.12466571
2003-12-01,188131.650219793
2004-01-01,187680.740300649
2004-02-01,187871.253150966
2004-03-01,188055.856963373
2004-04-01,188321.67669026
2004-05-01,188482.574872454
2004-06-01,188693.589705728
2004-07-01,188844.86220483
2004-08-01,189073.563765526
2004-09-01,189221.845030212
2004-10-01,189446.318548203
2004-11-01,189654.382766488
2004-12-01,189808.864364446
2005-01-01,189985.211034121
2005-02-01,190144.71969462
2005-03-01,190466.350657559
2005-04-01,190460.989071041
2005-05-01,190715.821332487
2005-06-01,190964.125257498
2005-07-01,191118.071138797
2005-08-01,191264.388077428
2005-09-01,191443.280921912
2005-10-01,191656.829027361
2005-11-01,191931.82766875
2005-12-01,192144.312056658
2006-01-01,192346.442735817
2006-02-01,192545.873186325
2006-03-01,192685.896474964
2006-04-01,192819.487586864
2006-05-01,192918.770627561
2006-06-01,193148.933584098
2006-07-01,193319.77681756
2006-08-01,193455.964638739
2006-09-01,193561.314714098
2006-10-01,193703.13565176
2006-11-01,193945.980506748
2006-12-01,194178.389785295
2007-01-01,194945.955880519
2007-02-01,195132.257522214
2007-03-01,195232.823965722
2007-04-01,195289.472023618
2007-05-01,195384.14585504
2007-06-01,195627.740312869
2007-07-01,195765.010173373
2007-08-01,195850.58436936
2007-09-01,195984.840584583
2007-10-01,196077.580387609
2007-11-01,196217.31575366
2007-12-01,196455.864871107
2008-01-01,196087.00438759
2008-02-01,196244.8551965
2008-03-01,196415.492933584
2008-04-01,196178.315444981
2008-05-01,196466.484715984
2008-06-01,196570.867486188
2008-07-01,196669.416588455
2008-08-01,196806.061241495
2008-09-01,196981.566396464
2008-10-01,197144.153111441
2008-11-01,197281.222294093
2008-12-01,197453.578966853
2009-01-01,196965.067360817
2009-02-01,197144.992795821
2009-03-01,197308.054703421
2009-04-01,197761.386647305
2009-05-01,197889.966205854
2009-06-01,197600.88551245
2009-07-01,197760.355152043
2009-08-01,198107.325441541
2009-09-01,198362.079102241
2009-10-01,198620.394389205
2009-11-01,198619.268764331
2009-12-01,198629.772487595
2010-01-01,198075.386318442
2010-02-01,198342.751105758
2010-03-01,198660.534980367
2010-04-01,199102.886512816
2010-05-01,199218.528651896
2010-06-01,198996.333548691
2010-07-01,199101.298266318
2010-08-01,199351.149368571
2010-09-01,199589.439652166
2010-10-01,199863.30806288
2010-11-01,199939.112705627
2010-12-01,199965.05171205
2011-01-01,199079.284145515
2011-02-01,199341.555230747
2011-03-01,199529.898698355
2011-04-01,199944.296227079
2011-05-01,200041.301574876
2011-06-01,199916.956350274
2011-07-01,200022.874596786
2011-08-01,200117.615623084
2011-09-01,200260.217410664
2011-10-01,200457.796713719
2011-11-01,200418.061766206
2011-12-01,200416.759541148
2012-01-01,201016.125011298
2012-02-01,201119.307425901
2012-03-01,201205.067171084
2012-04-01,201470.131953914
2012-05-01,201505.490128818
2012-06-01,201440.526656438
2012-07-01,201436.587734822
2012-08-01,201507.112030719
2012-09-01,201623.379289595
2012-10-01,201722.290642988
2012-11-01,201775.257171922
2012-12-01,201886.255972141
2013-01-01,201739.829619717
2013-02-01,201891.211875658
2013-03-01,202104.41286897
2013-04-01,202101.307297236
2013-05-01,202293.145405444
2013-06-01,202331.368706378
2013-07-01,202342.236240842
2013-08-01,202438.871245172
2013-09-01,202611.661952245
2013-10-01,202641.091741495
2013-11-01,202712.215861332
2013-12-01,202723.63362197
2014-01-01,202492.528277108
2014-02-01,202572.270561865
2014-03-01,202693.932467366
2014-04-01,202793.266637398
2014-05-01,202917.571990373
2014-06-01,203089.101014676
2014-07-01,203114.62136417
2014-08-01,203216.178651734
2014-09-01,203260.663587852
2014-10-01,203289.134116517
2014-11-01,203384.474815341
2014-12-01,203421.630829366
2015-01-01,203878.867682296
2015-02-01,203942.398563664
2015-03-01,204003.469101252
2015-04-01,204005.104702086
2015-05-01,204227.084169645
2015-06-01,204415.552308674
2015-07-01,204507.386343616
2015-08-01,204564.34420079
2015-09-01,204540.585658988
2015-10-01,204588.228984241
2015-11-01,204621.695384425
2015-12-01,204714.109800503
2016-01-01,205105.940165094
2016-02-01,205162.179279089
2016-03-01,205298.661843162
2016-04-01,205221.568994888
2016-05-01,205440.640944634
2016-06-01,205610.772884498
2016-07-01,205725.004036255
2016-08-01,205728.446562956
2016-09-01,205759.942411061
2016-10-01,205830.26829853
2016-11-01,205823.318737024
2016-12-01,205940.270913019
2017-01-01,205342.380606121
2017-02-01,205350.437354674
2017-03-01,205263.971637527
2017-04-01,205383.126287236
2017-05-01,205503.232393215
2017-06-01,205689.175163273
2017-07-01,205742.360069351
2017-08-01,205732.187110726
2017-09-01,205704.974436765
2017-10-01,205675.289867668
2017-11-01,205664.44646685
2017-12-01,205789.445006417
2018-01-01,206345.410781106
2018-02-01,206309.865522299
2018-03-01,206378.409333501
2018-04-01,206259.909257151
2018-05-01,206531.230786157
2018-06-01,206666.61053853
2018-07-01,206660.142241635
2018-08-01,206671.866660745
2018-09-01,206653.621572766
2018-10-01,206617.824093371
2018-11-01,206637.511738251
2018-12-01,206740.244952228
2019-01-01,206202.087447718
2019-02-01,206162.957514934
2019-03-01,206102.710286173
2019-04-01,206173.913937532
2019-05-01,206469.997878762
2019-06-01,206578.817680435
2019-07-01,206411.083790965
2019-08-01,206412.99198241
2019-09-01,206336.097650799
2019-10-01,206229.643947947
2019-11-01,206292.673421397
2019-12-01,206351.543707335
2020-01-01,205754.623310196
2020-02-01,205617.154744384
2020-03-01,205438.662071115
2020-04-01,206858.37790744
2020-05-01,206852.172347882
2020-06-01,205525.430223504
2020-07-01,205369.414397427
2020-08-01,205787.757696753
2020-09-01,206142.264750559
2020-10-01,206065.291014665
2020-11-01,206127.516121345
2020-12-01,205987.559844295
2021-01-01,204980.96591978
2021-02-01,204946.208815086
2021-03-01,204998.553716243
2021-04-01,205358.19277909
2021-05-01,205648.535086906
2021-06-01,205399.441246667
2021-07-01,205342.265243846
2021-08-01,205351.28201272
2021-09-01,205471.273904581
2021-10-01,205358.674574987
2021-11-01,205278.718399035
2021-12-01,205218.264079056
2022-01-01,207197.042742887
2022-02-01,207161.454226283
2022-03-01,206971.925056747
2022-04-01,207095.244822447
2022-05-01,207320.514665832
2022-06-01,207434.551359627
2022-07-01,207424.934866334
2022-08-01,207376.478650904
2022-09-01,207440.677660256
