DATE,SPPOPDPNDOLUSA
1960-01-01,15.1441107356828
1961-01-01,15.3161254867277
1962-01-01,15.430128642974
1963-01-01,15.5093798847842
1964-01-01,15.5780071839738
1965-01-01,15.6444737078794
1966-01-01,15.784293479191
1967-01-01,15.917687326507
1968-01-01,16.0456823071448
1969-01-01,16.1597420831384
1970-01-01,16.2498537391526
1971-01-01,16.3637967899647
1972-01-01,16.4545617348669
1973-01-01,16.5398340526125
1974-01-01,16.6231026185688
1975-01-01,16.6973405773145
1976-01-01,16.8678172385656
1977-01-01,17.0268272351678
1978-01-01,17.1937157076354
1979-01-01,17.3764729233977
1980-01-01,17.5710651027506
1981-01-01,17.7158001367105
1982-01-01,17.8472638760038
1983-01-01,17.9835711093782
1984-01-01,18.1368071846558
1985-01-01,18.3070471197091
1986-01-01,18.5152429108704
1987-01-01,18.7153180089723
1988-01-01,18.905279523336
1989-01-01,19.0761386303995
1990-01-01,19.2210388000996
1991-01-01,19.3370261395958
1992-01-01,19.4132162163351
1993-01-01,19.4501433494283
1994-01-01,19.4415666504786
1995-01-01,19.384689378846
1996-01-01,19.3000250075471
1997-01-01,19.1690669408753
1998-01-01,19.0107093941593
1999-01-01,18.8478419261201
2000-01-01,18.6978580097721
2001-01-01,18.613032400062
2002-01-01,18.5359034820816
2003-01-01,18.4754161700177
2004-01-01,18.4374737131615
2005-01-01,18.4287320889428
2006-01-01,18.5338733535182
2007-01-01,18.659783891621
2008-01-01,18.8323953287694
2009-01-01,19.0834540755858
2010-01-01,19.429885792402
2011-01-01,19.8581350829608
2012-01-01,20.3578038855779
2013-01-01,20.9167903768443
2014-01-01,21.5146979583995
2015-01-01,22.1414401053433
2016-01-01,22.7979977332197
2017-01-01,23.4614606122294
2018-01-01,24.1399756283929
2019-01-01,24.845705883762
2020-01-01,25.5870916119293
2021-01-01,26.3252850217097
